,AvatarId,Intention,Power,Sexual,Experience,Sex,S1,S2,S3
1,1,good,not powerful,sexualized,unexperienced,female,15,12,10
2,2,bad,not powerful,sexualized,unexperienced,female,12,12,9
3,3,good,powerful,not sexualized,unexperienced,female,8,6,14
4,4,bad,powerful,not sexualized,unexperienced,female,4,6,13
5,5,good,powerful,sexualized,unexperienced,female,13,7,10
6,6,bad,powerful,sexualized,unexperienced,female,8,6,7
7,7,good,not powerful,not sexualized,experienced,female,5,11,10
8,8,bad,not powerful,not sexualized,experienced,female,2,5,4
9,9,good,not powerful,sexualized,experienced,female,11,6,4
10,10,bad,not powerful,sexualized,experienced,female,11,4,5
11,11,good,powerful,not sexualized,experienced,female,4,4,9
12,12,bad,powerful,not sexualized,experienced,female,1,6,7
13,13,good,powerful,sexualized,experienced,female,12,6,4
14,14,bad,powerful,sexualized,experienced,female,7,9,5
15,15,good,not powerful,not sexualized,unexperienced,female,6,10,7
16,16,bad,not powerful,not sexualized,unexperienced,female,1,10,2
17,17,good,not powerful,sexualized,unexperienced,male,10,13,9
18,18,bad,not powerful,sexualized,unexperienced,male,10,14,9
19,19,good,powerful,not sexualized,unexperienced,male,8,4,13
20,20,bad,powerful,not sexualized,unexperienced,male,5,6,12
21,21,good,powerful,sexualized,unexperienced,male,14,7,9
22,22,bad,powerful,sexualized,unexperienced,male,14,3,10
23,23,good,not powerful,not sexualized,experienced,male,3,12,9
24,24,bad,not powerful,not sexualized,experienced,male,2,8,9
25,25,good,not powerful,sexualized,experienced,male,10,9,5
26,26,bad,not powerful,sexualized,experienced,male,11,8,4
27,27,good,powerful,not sexualized,experienced,male,3,3,7
28,28,bad,powerful,not sexualized,experienced,male,5,3,6
29,29,good,powerful,sexualized,experienced,male,10,5,3
30,30,bad,powerful,sexualized,experienced,male,11,6,5
31,31,good,not powerful,not sexualized,unexperienced,male,4,11,3
32,32,bad,not powerful,not sexualized,unexperienced,male,0,8,7
